1:1	بِسۡمِ ٱللَّهِ ٱلرَّحۡمَـٰنِ ٱلرَّحِيمِ	bismi lːaːhi rːaħmaːni rːaħiːm
3:29	قُلۡ إِن تُخۡفُواۡ مَا فِى صُدُورِكُمۡ أَوۡ تُبۡدُوهُ يَعۡلَمۡهُ ٱللَّهُ‌ۗ وَيَعۡلَمُ مَا فِى ٱلسَّمَـٰوٰتِ وَمَا فِى ٱلۡأَرۡضِ‌ۗ وَٱللَّهُ عَلَىٰ كُلِّ شَىۡءٍ قَدِيرٌ	qul ʔiⁿ tuxfuː maː fiː sˤuduːrikum ʔaw tubᵊduːhu jaʕlamhu lːaːhu wajaʕlamu maː fiː sːamaːwaːti wamaː fiː lʔardˤi walːaːhu ʕalaː kulːi ʃaːʔiⁿ qadiːr
3:30	يَوۡمَ تَجِدُ كُلُّ نَفۡسٍ مَّا عَمِلَتۡ مِنۡ خَيۡرٍ مُّحۡضَرًا وَمَا عَمِلَتۡ مِن سُوٓءٍ تَوَدُّ لَوۡ أَنَّ بَيۡنَهَا وَبَيۡنَهُۥٓ أَمَدَۢا بَعِيدًا‌ۗ وَيُحَذِّرُكُمُ ٱللَّهُ نَفۡسَهُۥ‌ۗ وَٱللَّهُ رَءُوفُۢ بِٱلۡعِبَادِ	jawma tad͡ʒidu kulːu nafsi mː̃aː ʕamilat min xajri mː̃uħdˤara w̃ːamaː ʕamilat miⁿ suːːʔiⁿ tawadːu law ʔanː̃a bajnahaː wabajnahuːː ʔamadaᵐ baʕiːda w̃ːajuħaðːirukumu lːaːhu nafsahuː walːaːhu raʔuːfuᵐ bilʕibaːdᵊ
3:31	قُلۡ إِن كُنتُمۡ تُحِبُّونَ ٱللَّهَ فَٱتَّبِعُونِى يُحۡبِبۡكُمُ ٱللَّهُ وَيَغۡفِرۡ لَكُمۡ ذُنُوبَكُمۡ‌ۗ وَٱللَّهُ غَفُورٌ رَّحِيمٌ	qul ʔiⁿ kuⁿtum tuħibːuːna lːaːha fatːabiʕuːniː juħbibᵊkumu lːaːhu wajaɣfir lakum ðunuːbakum walːaːhu ɣafuːru rːaħiːm
3:32	قُلۡ أَطِيعُواۡ ٱللَّهَ وَٱلرَّسُولَ‌ۖ فَإِن تَوَلَّوۡاۡ فَإِنَّ ٱللَّهَ لَا يُحِبُّ ٱلۡكَـٰفِرِينَ	qul ʔatˤiːʕuː lːaːha warːasuːla faʔiⁿ tawalːaw faʔinː̃a lːaːha laː juħibːu lkaːfiriːn
3:33	۞إِنَّ ٱللَّهَ ٱصۡطَفَىٰٓ ءَادَمَ وَنُوحًا وَءَالَ إِبۡرٰهِيمَ وَءَالَ عِمۡرٰنَ عَلَى ٱلۡعَـٰلَمِينَ	ʔinː̃a lːaːha sˤtˤafaːː ʔaːdama wanuːħa w̃ːaʔaːla ʔibᵊraːhiːma waʔaːla ʕimraːna ʕalaː lʕaːlamiːn
3:34	ذُرِّيَّةَۢ بَعۡضُهَا مِنۢ بَعۡضٍ‌ۗ وَٱللَّهُ سَمِيعٌ عَلِيمٌ	ðurːijːataᵐ baʕdˤuhaː miᵐ baʕdˤi w̃ːalːaːhu samiːʕun ʕaliːm
3:35	إِذۡ قَالَتِ ٱمۡرَأَتُ عِمۡرٰنَ رَبِّ إِنِّى نَذَرۡتُ لَكَ مَا فِى بَطۡنِى مُحَرَّرًا فَتَقَبَّلۡ مِنِّىٓ‌ۖ إِنَّكَ أَنتَ ٱلسَّمِيعُ ٱلۡعَلِيمُ	ʔið qaːlati mraʔatu ʕimraːna rabːi ʔinː̃iː naðartu laka maː fiː batˤᵊniː muħarːaraⁿ fataqabːal minː̃iːː ʔinː̃aka ʔaⁿta sːamiːʕu lʕaliːm
3:36	فَلَمَّا وَضَعَتۡهَا قَالَتۡ رَبِّ إِنِّى وَضَعۡتُهَآ أُنثَىٰ وَٱللَّهُ أَعۡلَمُ بِمَا وَضَعَتۡ وَلَيۡسَ ٱلذَّكَرُ كَٱلۡأُنثَىٰ‌ۖ وَإِنِّى سَمَّيۡتُهَا مَرۡيَمَ وَإِنِّىٓ أُعِيذُهَا بِكَ وَذُرِّيَّتَهَا مِنَ ٱلشَّيۡطَـٰنِ ٱلرَّجِيمِ	falamː̃aː wadˤaʕathaː qaːlat rabːi ʔinː̃iː wadˤaʕtuhaːː ʔuⁿθaː walːaːhu ʔaʕlamu bimaː wadˤaʕat walajsa ðːakaru kalʔuⁿθaː waʔinː̃iː samː̃ajtuhaː marjama waʔinː̃iːː ʔuʕiːðuhaː bika waðurːijːatahaː mina ʃːajtˤaːni rːad͡ʒiːm
3:37	فَتَقَبَّلَهَا رَبُّهَا بِقَبُولٍ حَسَنٍ وَأَنۢبَتَهَا نَبَاتًا حَسَنًا وَكَفَّلَهَا زَكَرِيَّا‌ۖ كُلَّمَا دَخَلَ عَلَيۡهَا زَكَرِيَّا ٱلۡمِحۡرَابَ وَجَدَ عِندَهَا رِزۡقًا‌ۖ قَالَ يَـٰمَرۡيَمُ أَنَّىٰ لَكِ هَـٰذَا‌ۖ قَالَتۡ هُوَ مِنۡ عِندِ ٱللَّهِ‌ۖ إِنَّ ٱللَّهَ يَرۡزُقُ مَن يَشَآءُ بِغَيۡرِ حِسَابٍ	fataqabːalahaː rabːuhaː biqabuːlin ħasani w̃ːaʔaᵐbatahaː nabaːtan ħasana w̃ːakafːalahaː zakarijːaː kulːamaː daxala ʕalajhaː zakarijːaː lmiħraːba wad͡ʒada ʕiⁿdahaː rizqaⁿ qaːla jaːmarjamu ʔanː̃aː laki haːðaː qaːlat huwa min ʕiⁿdi lːaːhi ʔinː̃a lːaːha jarzuqu ma j̃ːaʃaːːʔu biɣajri ħisaːbᵊ
3:38	هُنَالِكَ دَعَا زَكَرِيَّا رَبَّهُۥ‌ۖ قَالَ رَبِّ هَبۡ لِى مِن لَّدُنكَ ذُرِّيَّةً طَيِّبَةً‌ۖ إِنَّكَ سَمِيعُ ٱلدُّعَآءِ	hunaːlika daʕaː zakarijːaː rabːahuː qaːla rabːi habᵊ liː mi lːaduⁿka ðurːijːataⁿ tˤajːibatan ʔinː̃aka samiːʕu dːuʕaːːʔ
3:39	فَنَادَتۡهُ ٱلۡمَلَـٰٓئِكَةُ وَهُوَ قَآئِمٌ يُصَلِّى فِى ٱلۡمِحۡرَابِ أَنَّ ٱللَّهَ يُبَشِّرُكَ بِيَحۡيَىٰ مُصَدِّقَۢا بِكَلِمَةٍ مِّنَ ٱللَّهِ وَسَيِّدًا وَحَصُورًا وَنَبِيًّا مِّنَ ٱلصَّـٰلِحِينَ	fanaːdathu lmalaːːʔikatu wahuwa qaːːʔimu j̃ːusˤalːiː fiː lmiħraːbi ʔanː̃a lːaːha jubaʃːiruka bijaħjaː musˤadːiqaᵐ bikalimati mː̃ina lːaːhi wasajːida w̃ːaħasˤuːra w̃ːanabijːa mː̃ina sˤːaːliħiːn
3:40	قَالَ رَبِّ أَنَّىٰ يَكُونُ لِى غُلَـٰمٌ وَقَدۡ بَلَغَنِىَ ٱلۡكِبَرُ وَٱمۡرَأَتِى عَاقِرٌ‌ۖ قَالَ كَذٰلِكَ ٱللَّهُ يَفۡعَلُ مَا يَشَآءُ	qaːla rabːi ʔanː̃aː jakuːnu liː ɣulaːmu w̃ːaqadᵊ balaɣanija lkibaru wamraʔatiː ʕaːqiruⁿ qaːla kaðaːlika lːaːhu jafʕalu maː jaʃaːːʔ
3:41	قَالَ رَبِّ ٱجۡعَل لِّىٓ ءَايَةً‌ۖ قَالَ ءَايَتُكَ أَلَّا تُكَلِّمَ ٱلنَّاسَ ثَلَـٰثَةَ أَيَّامٍ إِلَّا رَمۡزًا‌ۗ وَٱذۡكُر رَّبَّكَ كَثِيرًا وَسَبِّحۡ بِٱلۡعَشِىِّ وَٱلۡإِبۡكَـٰرِ	qaːla rabːi d͡ʒᵊʕa lːiːː ʔaːjataⁿ qaːla ʔaːjatuka ʔalːaː tukalːima nː̃aːsa θalaːθata ʔajːaːmin ʔilːaː ramza w̃ːaðku rːabːaka kaθiːra w̃ːasabːiħ bilʕaʃijːi walʔibᵊkaːr
3:42	وَإِذۡ قَالَتِ ٱلۡمَلَـٰٓئِكَةُ يَـٰمَرۡيَمُ إِنَّ ٱللَّهَ ٱصۡطَفَـٰكِ وَطَهَّرَكِ وَٱصۡطَفَـٰكِ عَلَىٰ نِسَآءِ ٱلۡعَـٰلَمِينَ	waʔið qaːlati lmalaːːʔikatu jaːmarjamu ʔinː̃a lːaːha sˤtˤafaːki watˤahːaraki wasˤtˤafaːki ʕalaː nisaːːʔi lʕaːlamiːn
3:43	يَـٰمَرۡيَمُ ٱقۡنُتِى لِرَبِّكِ وَٱسۡجُدِى وَٱرۡكَعِى مَعَ ٱلرّٰكِعِينَ	jaːmarjamu qᵊnutiː lirabːiki wasd͡ʒudiː warkaʕiː maʕa rːaːkiʕiːn
3:44	ذٰلِكَ مِنۡ أَنۢبَآءِ ٱلۡغَيۡبِ نُوحِيهِ إِلَيۡكَ‌ۚ وَمَا كُنتَ لَدَيۡهِمۡ إِذۡ يُلۡقُونَ أَقۡلَـٰمَهُمۡ أَيُّهُمۡ يَكۡفُلُ مَرۡيَمَ وَمَا كُنتَ لَدَيۡهِمۡ إِذۡ يَخۡتَصِمُونَ	ðaːlika min ʔaᵐbaːːʔi lɣajbi nuːħiːhi ʔilajka wamaː kuⁿta ladajhim ʔið julquːna ʔaqᵊlaːmahum ʔajːuhum jakfulu marjama wamaː kuⁿta ladajhim ʔið jaxtasˤimuːn
3:45	إِذۡ قَالَتِ ٱلۡمَلَـٰٓئِكَةُ يَـٰمَرۡيَمُ إِنَّ ٱللَّهَ يُبَشِّرُكِ بِكَلِمَةٍ مِّنۡهُ ٱسۡمُهُ ٱلۡمَسِيحُ عِيسَى ٱبۡنُ مَرۡيَمَ وَجِيهًا فِى ٱلدُّنۡيَا وَٱلۡأَخِرَةِ وَمِنَ ٱلۡمُقَرَّبِينَ	ʔið qaːlati lmalaːːʔikatu jaːmarjamu ʔinː̃a lːaːha jubaʃːiruki bikalimati mː̃inhu smuhu lmasiːħu ʕiːsaː bᵊnu marjama wad͡ʒiːhaⁿ fiː dːunjaː walʔaxirati wamina lmuqarːabiːn
3:46	وَيُكَلِّمُ ٱلنَّاسَ فِى ٱلۡمَهۡدِ وَكَهۡلاً وَمِنَ ٱلصَّـٰلِحِينَ	wajukalːimu nː̃aːsa fiː lmahdi wakahla w̃ːamina sˤːaːliħiːn
3:47	قَالَتۡ رَبِّ أَنَّىٰ يَكُونُ لِى وَلَدٌ وَلَمۡ يَمۡسَسۡنِى بَشَرٌ‌ۖ قَالَ كَذٰلِكِ ٱللَّهُ يَخۡلُقُ مَا يَشَآءُ‌ۚ إِذَا قَضَىٰٓ أَمۡرًا فَإِنَّمَا يَقُولُ لَهُۥ كُن فَيَكُونُ	qaːlat rabːi ʔanː̃aː jakuːnu liː waladu w̃ːalam jamsasniː baʃaruⁿ qaːla kaðaːliki lːaːhu jaxluqu maː jaʃaːːʔu ʔiðaː qadˤaːː ʔamraⁿ faʔinː̃amaː jaquːlu lahuː kuⁿ fajakuːn
3:48	وَيُعَلِّمُهُ ٱلۡكِتَـٰبَ وَٱلۡحِكۡمَةَ وَٱلتَّوۡرَٮٰةَ وَٱلۡإِنجِيلَ	wajuʕalːimuhu lkitaːba walħikmata watːawraːta walʔiⁿd͡ʒiːl
3:49	وَرَسُولاً إِلَىٰ بَنِىٓ إِسۡرٰٓءِيلَ أَنِّى قَدۡ جِئۡتُكُم بِـَٔـايَةٍ مِّن رَّبِّكُمۡ‌ۖ أَنِّىٓ أَخۡلُقُ لَكُم مِّنَ ٱلطِّينِ كَهَيۡــَٔةِ ٱلطَّيۡرِ فَأَنفُخُ فِيهِ فَيَكُونُ طَيۡرَۢا بِإِذۡنِ ٱللَّهِ‌ۖ وَأُبۡرِئُ ٱلۡأَكۡمَهَ وَٱلۡأَبۡرَصَ وَأُحۡىِ ٱلۡمَوۡتَىٰ بِإِذۡنِ ٱللَّهِ‌ۖ وَأُنَبِّئُكُم بِمَا تَأۡكُلُونَ وَمَا تَدَّخِرُونَ فِى بُيُوتِكُمۡ‌ۚ إِنَّ فِى ذٰلِكَ لَأَيَةً لَّكُمۡ إِن كُنتُم مُّؤۡمِنِينَ	warasuːlan ʔilaː baniːː ʔisraːːʔiːla ʔanː̃iː qadᵊ d͡ʒiʔtukuᵐ biʔaːjati mː̃i rːabːikum ʔanː̃iːː ʔaxluqu laku mː̃ina tˤːiːni kahajʔati tˤːajri faʔaⁿfuxu fiːhi fajakuːnu tˤajraᵐ biʔiðni lːaːhi waʔubᵊriʔu lʔakmaha walʔabᵊrasˤa waʔuħji lmawtaː biʔiðni lːaːhi waʔunabːiʔukuᵐ bimaː taʔkuluːna wamaː tadːaxiruːna fiː bujuːtikum ʔinː̃a fiː ðaːlika laʔajata lːakum ʔiⁿ kuⁿtu mː̃uʔminiːn
3:50	وَمُصَدِّقًا لِّمَا بَيۡنَ يَدَىَّ مِنَ ٱلتَّوۡرَٮٰةِ وَلِأُحِلَّ لَكُم بَعۡضَ ٱلَّذِى حُرِّمَ عَلَيۡكُمۡ‌ۚ وَجِئۡتُكُم بِـَٔـايَةٍ مِّن رَّبِّكُمۡ فَٱتَّقُواۡ ٱللَّهَ وَأَطِيعُونِ	wamusˤadːiqa lːimaː bajna jadajːa mina tːawraːti waliʔuħilːa lakuᵐ baʕdˤa lːaðiː ħurːima ʕalajkum wad͡ʒiʔtukuᵐ biʔaːjati mː̃i rːabːikum fatːaquː lːaːha waʔatˤiːʕuːn
3:51	إِنَّ ٱللَّهَ رَبِّى وَرَبُّكُمۡ فَٱعۡبُدُوهُ‌ۗ هَـٰذَا صِرٰطٌ مُّسۡتَقِيمٌ	ʔinː̃a lːaːha rabːiː warabːukum faʕbuduːhu haːðaː sˤiraːtˤu mː̃ustaqiːm
3:52	۞فَلَمَّآ أَحَسَّ عِيسَىٰ مِنۡهُمُ ٱلۡكُفۡرَ قَالَ مَنۡ أَنصَارِىٓ إِلَى ٱللَّهِ‌ۖ قَالَ ٱلۡحَوَارِيُّونَ نَحۡنُ أَنصَارُ ٱللَّهِ ءَامَنَّا بِٱللَّهِ وَٱشۡهَدۡ بِأَنَّا مُسۡلِمُونَ	falamː̃aːː ʔaħasːa ʕiːsaː minhumu lkufra qaːla man ʔaⁿsˤaːriːː ʔilaː lːaːhi qaːla lħawaːrijːuːna naħnu ʔaⁿsˤaːru lːaːhi ʔaːmanː̃aː bilːaːhi waʃhadᵊ biʔanː̃aː muslimuːn
3:53	رَبَّنَآ ءَامَنَّا بِمَآ أَنزَلۡتَ وَٱتَّبَعۡنَا ٱلرَّسُولَ فَٱكۡتُبۡنَا مَعَ ٱلشَّـٰهِدِينَ	rabːanaːː ʔaːmanː̃aː bimaːː ʔaⁿzalta watːabaʕnaː rːasuːla faktubᵊnaː maʕa ʃːaːhidiːn
3:54	وَمَكَرُواۡ وَمَكَرَ ٱللَّهُ‌ۖ وَٱللَّهُ خَيۡرُ ٱلۡمَـٰكِرِينَ	wamakaruː wamakara lːaːhu walːaːhu xajru lmaːkiriːn
3:55	إِذۡ قَالَ ٱللَّهُ يَـٰعِيسَىٰٓ إِنِّى مُتَوَفِّيكَ وَرَافِعُكَ إِلَىَّ وَمُطَهِّرُكَ مِنَ ٱلَّذِينَ كَفَرُواۡ وَجَاعِلُ ٱلَّذِينَ ٱتَّبَعُوكَ فَوۡقَ ٱلَّذِينَ كَفَرُوٓاۡ إِلَىٰ يَوۡمِ ٱلۡقِيَـٰمَةِ‌ۖ ثُمَّ إِلَىَّ مَرۡجِعُكُمۡ فَأَحۡكُمُ بَيۡنَكُمۡ فِيمَا كُنتُمۡ فِيهِ تَخۡتَلِفُونَ	ʔið qaːla lːaːhu jaːʕiːsaːː ʔinː̃iː mutawafːiːka waraːfiʕuka ʔilajːa wamutˤahːiruka mina lːaðiːna kafaruː wad͡ʒaːʕilu lːaðiːna tːabaʕuːka fawqa lːaðiːna kafaruːː ʔilaː jawmi lqijaːmati θumː̃a ʔilajːa mard͡ʒiʕukum faʔaħkumu bajnakum fiːmaː kuⁿtum fiːhi taxtalifuːn
3:56	فَأَمَّا ٱلَّذِينَ كَفَرُواۡ فَأُعَذِّبُهُمۡ عَذَابًا شَدِيدًا فِى ٱلدُّنۡيَا وَٱلۡأَخِرَةِ وَمَا لَهُم مِّن نَّـٰصِرِينَ	faʔamː̃aː lːaðiːna kafaruː faʔuʕaðːibuhum ʕaðaːbaⁿ ʃadiːdaⁿ fiː dːunjaː walʔaxirati wamaː lahu mː̃i nː̃aːsˤiriːn
3:57	وَأَمَّا ٱلَّذِينَ ءَامَنُواۡ وَعَمِلُواۡ ٱلصَّـٰلِحَـٰتِ فَيُوَفِّيهِمۡ أُجُورَهُمۡ‌ۗ وَٱللَّهُ لَا يُحِبُّ ٱلظَّـٰلِمِينَ	waʔamː̃aː lːaðiːna ʔaːmanuː waʕamiluː sˤːaːliħaːti fajuwafːiːhim ʔud͡ʒuːrahum walːaːhu laː juħibːu ðˤːaːlimiːn
3:58	ذٰلِكَ نَتۡلُوهُ عَلَيۡكَ مِنَ ٱلۡأَيَـٰتِ وَٱلذِّكۡرِ ٱلۡحَكِيمِ	ðaːlika natluːhu ʕalajka mina lʔajaːti waðːikri lħakiːm
3:59	إِنَّ مَثَلَ عِيسَىٰ عِندَ ٱللَّهِ كَمَثَلِ ءَادَمَ‌ۖ خَلَقَهُۥ مِن تُرَابٍ ثُمَّ قَالَ لَهُۥ كُن فَيَكُونُ	ʔinː̃a maθala ʕiːsaː ʕiⁿda lːaːhi kamaθali ʔaːdama xalaqahuː miⁿ turaːbiⁿ θumː̃a qaːla lahuː kuⁿ fajakuːn
3:60	ٱلۡحَقُّ مِن رَّبِّكَ فَلَا تَكُن مِّنَ ٱلۡمُمۡتَرِينَ	ʔalħaqːu mi rːabːika falaː taku mː̃ina lmumtariːn
3:61	فَمَنۡ حَآجَّكَ فِيهِ مِنۢ بَعۡدِ مَا جَآءَكَ مِنَ ٱلۡعِلۡمِ فَقُلۡ تَعَالَوۡاۡ نَدۡعُ أَبۡنَآءَنَا وَأَبۡنَآءَكُمۡ وَنِسَآءَنَا وَنِسَآءَكُمۡ وَأَنفُسَنَا وَأَنفُسَكُمۡ ثُمَّ نَبۡتَهِلۡ فَنَجۡعَل لَّعۡنَتَ ٱللَّهِ عَلَى ٱلۡكَـٰذِبِينَ	faman ħaːːːd͡ʒːaka fiːhi miᵐ baʕdi maː d͡ʒaːːʔaka mina lʕilmi faqul taʕaːlaw nadᵊʕu ʔabᵊnaːːʔanaː waʔabᵊnaːːʔakum wanisaːːʔanaː wanisaːːʔakum waʔaⁿfusanaː waʔaⁿfusakum θumː̃a nabᵊtahil fanad͡ʒᵊʕa lːaʕnata lːaːhi ʕalaː lkaːðibiːn
3:62	إِنَّ هَـٰذَا لَهُوَ ٱلۡقَصَصُ ٱلۡحَقُّ‌ۚ وَمَا مِنۡ إِلَـٰهٍ إِلَّا ٱللَّهُ‌ۚ وَإِنَّ ٱللَّهَ لَهُوَ ٱلۡعَزِيزُ ٱلۡحَكِيمُ	ʔinː̃a haːðaː lahuwa lqasˤasˤu lħaqːu wamaː min ʔilaːhin ʔilːaː lːaːhu waʔinː̃a lːaːha lahuwa lʕaziːzu lħakiːm
3:63	فَإِن تَوَلَّوۡاۡ فَإِنَّ ٱللَّهَ عَلِيمُۢ بِٱلۡمُفۡسِدِينَ	faʔiⁿ tawalːaw faʔinː̃a lːaːha ʕaliːmuᵐ bilmufsidiːn
3:64	قُلۡ يَـٰٓأَهۡلَ ٱلۡكِتَـٰبِ تَعَالَوۡاۡ إِلَىٰ كَلِمَةٍ سَوَآءِۭ بَيۡنَنَا وَبَيۡنَكُمۡ أَلَّا نَعۡبُدَ إِلَّا ٱللَّهَ وَلَا نُشۡرِكَ بِهِۦ شَيۡــًٔا وَلَا يَتَّخِذَ بَعۡضُنَا بَعۡضًا أَرۡبَابًا مِّن دُونِ ٱللَّهِ‌ۚ فَإِن تَوَلَّوۡاۡ فَقُولُواۡ ٱشۡهَدُواۡ بِأَنَّا مُسۡلِمُونَ	qul jaːːʔahla lkitaːbi taʕaːlaw ʔilaː kalimatiⁿ sawaːːʔiᵐ bajnanaː wabajnakum ʔalːaː naʕbuda ʔilːaː lːaːha walaː nuʃrika bihiː ʃajʔa w̃ːalaː jatːaxiða baʕdˤunaː baʕdˤan ʔarbaːba mː̃iⁿ duːni lːaːhi faʔiⁿ tawalːaw faquːluː ʃhaduː biʔanː̃aː muslimuːn
3:65	يَـٰٓأَهۡلَ ٱلۡكِتَـٰبِ لِمَ تُحَآجُّونَ فِىٓ إِبۡرٰهِيمَ وَمَآ أُنزِلَتِ ٱلتَّوۡرَٮٰةُ وَٱلۡإِنجِيلُ إِلَّا مِنۢ بَعۡدِهِۦٓ‌ۚ أَفَلَا تَعۡقِلُونَ	jaːːʔahla lkitaːbi lima tuħaːːːd͡ʒːuːna fiːː ʔibᵊraːhiːma wamaːː ʔuⁿzilati tːawraːtu walʔiⁿd͡ʒiːlu ʔilːaː miᵐ baʕdihiːː ʔafalaː taʕqiluːn
3:66	هَـٰٓأَنتُمۡ هَـٰٓؤُلَآءِ حَـٰجَجۡتُمۡ فِيمَا لَكُم بِهِۦ عِلۡمٌ فَلِمَ تُحَآجُّونَ فِيمَا لَيۡسَ لَكُم بِهِۦ عِلۡمٌ‌ۚ وَٱللَّهُ يَعۡلَمُ وَأَنتُمۡ لَا تَعۡلَمُونَ	haːːʔaⁿtum haːːʔulaːːʔi ħaːd͡ʒad͡ʒᵊtum fiːmaː lakuᵐ bihiː ʕilmuⁿ falima tuħaːːːd͡ʒːuːna fiːmaː lajsa lakuᵐ bihiː ʕilmu w̃ːalːaːhu jaʕlamu waʔaⁿtum laː taʕlamuːn
3:67	مَا كَانَ إِبۡرٰهِيمُ يَهُودِيًّا وَلَا نَصۡرَانِيًّا وَلَـٰكِن كَانَ حَنِيفًا مُّسۡلِمًا وَمَا كَانَ مِنَ ٱلۡمُشۡرِكِينَ	maː kaːna ʔibᵊraːhiːmu jahuːdijːa w̃ːalaː nasˤraːnijːa w̃ːalaːkiⁿ kaːna ħaniːfa mː̃uslima w̃ːamaː kaːna mina lmuʃrikiːn
3:68	إِنَّ أَوۡلَى ٱلنَّاسِ بِإِبۡرٰهِيمَ لَلَّذِينَ ٱتَّبَعُوهُ وَهَـٰذَا ٱلنَّبِىُّ وَٱلَّذِينَ ءَامَنُواۡ‌ۗ وَٱللَّهُ وَلِىُّ ٱلۡمُؤۡمِنِينَ	ʔinː̃a ʔawlaː nː̃aːsi biʔibᵊraːhiːma lalːaðiːna tːabaʕuːhu wahaːðaː nː̃abijːu walːaðiːna ʔaːmanuː walːaːhu walijːu lmuʔminiːn
3:69	وَدَّت طَّآئِفَةٌ مِّنۡ أَهۡلِ ٱلۡكِتَـٰبِ لَوۡ يُضِلُّونَكُمۡ وَمَا يُضِلُّونَ إِلَّآ أَنفُسَهُمۡ وَمَا يَشۡعُرُونَ	wadːa tˤːaːːʔifatu mː̃in ʔahli lkitaːbi law judˤilːuːnakum wamaː judˤilːuːna ʔilːaːː ʔaⁿfusahum wamaː jaʃʕuruːn
3:70	يَـٰٓأَهۡلَ ٱلۡكِتَـٰبِ لِمَ تَكۡفُرُونَ بِـَٔـايَـٰتِ ٱللَّهِ وَأَنتُمۡ تَشۡهَدُونَ	jaːːʔahla lkitaːbi lima takfuruːna biʔaːjaːti lːaːhi waʔaⁿtum taʃhaduːn
3:71	يَـٰٓأَهۡلَ ٱلۡكِتَـٰبِ لِمَ تَلۡبِسُونَ ٱلۡحَقَّ بِٱلۡبَـٰطِلِ وَتَكۡتُمُونَ ٱلۡحَقَّ وَأَنتُمۡ تَعۡلَمُونَ	jaːːʔahla lkitaːbi lima talbisuːna lħaqːa bilbaːtˤili wataktumuːna lħaqːa waʔaⁿtum taʕlamuːn
3:72	وَقَالَت طَّآئِفَةٌ مِّنۡ أَهۡلِ ٱلۡكِتَـٰبِ ءَامِنُواۡ بِٱلَّذِىٓ أُنزِلَ عَلَى ٱلَّذِينَ ءَامَنُواۡ وَجۡهَ ٱلنَّهَارِ وَٱكۡفُرُوٓاۡ ءَاخِرَهُۥ لَعَلَّهُمۡ يَرۡجِعُونَ	waqaːla tˤːaːːʔifatu mː̃in ʔahli lkitaːbi ʔaːminuː bilːaðiːː ʔuⁿzila ʕalaː lːaðiːna ʔaːmanuː wad͡ʒᵊha nː̃ahaːri wakfuruːː ʔaːxirahuː laʕalːahum jard͡ʒiʕuːn
3:73	وَلَا تُؤۡمِنُوٓاۡ إِلَّا لِمَن تَبِعَ دِينَكُمۡ قُلۡ إِنَّ ٱلۡهُدَىٰ هُدَى ٱللَّهِ أَن يُؤۡتَىٰٓ أَحَدٌ مِّثۡلَ مَآ أُوتِيتُمۡ أَوۡ يُحَآجُّوكُمۡ عِندَ رَبِّكُمۡ‌ۗ قُلۡ إِنَّ ٱلۡفَضۡلَ بِيَدِ ٱللَّهِ يُؤۡتِيهِ مَن يَشَآءُ‌ۗ وَٱللَّهُ وٰسِعٌ عَلِيمٌ	walaː tuʔminuːː ʔilːaː limaⁿ tabiʕa diːnakum qul ʔinː̃a lhudaː hudaː lːaːhi ʔa j̃ːuʔtaːː ʔaħadu mː̃iθla maːː ʔuːtiːtum ʔaw juħaːːːd͡ʒːuːkum ʕiⁿda rabːikum qul ʔinː̃a lfadˤla bijadi lːaːhi juʔtiːhi ma j̃ːaʃaːːʔu walːaːh uːaːsiʕun ʕaliːm
3:74	يَخۡتَصُّ بِرَحۡمَتِهِۦ مَن يَشَآءُ‌ۗ وَٱللَّهُ ذُو ٱلۡفَضۡلِ ٱلۡعَظِيمِ	jaxtasˤːu biraħmatihiː ma j̃ːaʃaːːʔu walːaːhu ðuː lfadˤli lʕaðˤiːm
3:75	۞وَمِنۡ أَهۡلِ ٱلۡكِتَـٰبِ مَنۡ إِن تَأۡمَنۡهُ بِقِنطَارٍ يُؤَدِّهِۦٓ إِلَيۡكَ وَمِنۡهُم مَّنۡ إِن تَأۡمَنۡهُ بِدِينَارٍ لَّا يُؤَدِّهِۦٓ إِلَيۡكَ إِلَّا مَا دُمۡتَ عَلَيۡهِ قَآئِمًا‌ۗ ذٰلِكَ بِأَنَّهُمۡ قَالُواۡ لَيۡسَ عَلَيۡنَا فِى ٱلۡأُمِّيِّــۧنَ سَبِيلٌ وَيَقُولُونَ عَلَى ٱللَّهِ ٱلۡكَذِبَ وَهُمۡ يَعۡلَمُونَ	wamin ʔahli lkitaːbi man ʔiⁿ taʔmanhu biqiⁿtˤaːri j̃ːuʔadːihiːː ʔilajka waminhu mː̃an ʔiⁿ taʔmanhu bidiːnaːri lːaː juʔadːihiːː ʔilajka ʔilːaː maː dumta ʕalajhi qaːːʔimaⁿ ⁿaːlika biʔanː̃ahum qaːluː lajsa ʕalajnaː fiː lʔumː̃ijːiːna sabiːlu w̃ːajaquːluːna ʕalaː lːaːhi lkaðiba wahum jaʕlamuːn
3:76	بَلَىٰ مَنۡ أَوۡفَىٰ بِعَهۡدِهِۦ وَٱتَّقَىٰ فَإِنَّ ٱللَّهَ يُحِبُّ ٱلۡمُتَّقِينَ	balaː man ʔawfaː biʕahdihiː watːaqaː faʔinː̃a lːaːha juħibːu lmutːaqiːn
